commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
3.0,2.0421000921957506,0.6619837485006962,941.0,512.0,0.0,abnormal glucose homeostasis,0.044549598926833585,0.0,0.0,2.0,0.0,1.0,32.0,Wbc6qiYq_PE,640.0
1.0,0.9440313295956815,0.4192517853859984,479.0,250.0,0.0,abnormal glucose homeostasis,0.041333638996903566,0.0,0.0,1.0,0.0,0.0,33.0,o7Kd9wQQEU4,307.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.025124481389461516,0.0,0.0,0.0,0.0,0.0,34.0,OwOgSUFyzb4,157.0
329.0,8.86577997109306,4.85714242738764,4393.0,3305.0,167.0,abnormal glucose homeostasis,0.0,0.0,167.0,24.0,16.0,60.0,35.0,8J9DfeOYBKs,387523.0
6.0,0.0,0.07627173383156732,156.0,118.0,0.0,abnormal glucose homeostasis,0.0,0.0,0.0,1.0,0.0,3.0,36.0,MbYw2IOtyVQ,4197.0
408.0,6.041344988811049,1.7078811915393879,2002.0,1675.0,100.0,abnormal glucose homeostasis,0.028289315797192696,0.0,100.0,22.0,18.0,60.0,37.0,SCV_m91mN-Q,843655.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.03221218053188296,0.0,0.0,0.0,0.0,0.0,38.0,ahq12YyLK7E,58.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.025367599740840418,0.0,0.0,0.0,0.0,0.0,39.0,1Q5iQomFylI,37.0
1.0,1.0000000000000007,0.12319843994559153,651.0,332.0,0.0,abnormal glucose homeostasis,0.029854786660573663,0.0,0.0,1.0,0.0,0.0,40.0,BdgOwOfS6Ak,428.0
16.0,0.4294119048009303,0.08691886865411809,203.0,173.0,7.0,abnormal glucose homeostasis,0.0,0.0,7.0,0.0,1.0,12.0,41.0,rfepM3L7Pqc,86016.0
3.0,0.0,0.043676375794142075,71.0,59.0,0.0,abnormal glucose homeostasis,0.0,0.0,0.0,0.0,0.0,2.0,42.0,vAIzNjL_yxs,6228.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.030272531082649528,0.0,0.0,0.0,0.0,0.0,43.0,mbwJZp9JJR4,33.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.035172747933772085,0.0,0.0,0.0,0.0,0.0,44.0,HidY6UTWMIU,301.0
1.0,0.05186334243082868,0.0,4.0,4.0,0.0,abnormal glucose homeostasis,0.022726791135568487,0.0,0.0,0.0,1.0,0.0,45.0,YasUUTZMyKg,3506.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.028088711990408136,0.0,0.0,0.0,0.0,0.0,46.0,ulvLrFW5Jmk,87.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal glucose homeostasis,0.023793644319104884,0.0,0.0,0.0,0.0,0.0,47.0,_Kt_PfIXP50,76.0
2835.0,2.398110305054708,4.960121554172091,1273.0,1166.0,1483.0,abnormal insulin,0.0,0.0,1483.0,45.0,25.0,30.0,0.0,LT_xr63XF_g,2088470.0
4.0,0.0,0.0,5.0,5.0,14.0,abnormal insulin,0.0,0.0,14.0,0.0,4.0,0.0,1.0,PBB4SHQHTbY,40836.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.0,0.47362960103326845,0.0,0.0,0.0,0.0,2.0,CF6XtyWKVoo,0.0
372.0,7.373737119244066,7.495027723385136,3180.0,2503.0,214.0,abnormal insulin,0.0282181485645301,0.0,214.0,26.0,24.0,50.0,3.0,ZiITCnnFbwQ,630351.0
1.0,0.005205918681523053,0.0,6.0,6.0,1.0,abnormal insulin,0.13780996816865354,0.0,1.0,0.0,0.0,1.0,4.0,LerY4Y1gz5E,249.0
6.0,0.491670648484288,0.12591944574553737,91.0,84.0,5.0,abnormal insulin,0.0,0.0,5.0,2.0,1.0,3.0,5.0,9zb0Oo0ryEI,29510.0
947.0,11.625666116592992,3.2109274051759407,3999.0,3035.0,2268.0,abnormal insulin,0.006399910557499305,0.0,2268.0,13.0,32.0,55.0,6.0,6dBqqo0LoHM,2763981.0
30.0,2.5338304014029025,0.707967609856947,290.0,257.0,9.0,abnormal insulin,0.016108685337869005,0.0,9.0,4.0,4.0,14.0,7.0,-32U9eU1hdM,49842.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.08903623440258447,0.0,0.0,0.0,0.0,0.0,8.0,nMoJ7TZN7l8,22.0
15.0,1.3611536106785669,0.8678066635010959,213.0,183.0,3.0,abnormal insulin,0.07914750898326459,0.18536596920287218,3.0,1.0,2.0,6.0,9.0,T2g2ilEQpPo,4128.0
